,acceleration,SPEED,Frequency
234,-2.7,30.0,2.8408283855572286e-06
235,-2.7,32.0,5.681656771114457e-06
236,-2.7,37.0,2.8408283855572286e-06
237,-2.7,45.0,5.681656771114457e-06
238,-2.6,1.0,3.408994062668674e-05
239,-2.6,2.0,5.96573960967018e-05
240,-2.6,3.0,1.4204141927786142e-05
241,-2.6,4.0,2.8408283855572286e-06
242,-2.6,5.0,8.522485156671685e-06
243,-2.6,6.0,8.522485156671685e-06
244,-2.6,7.0,2.8408283855572286e-06
245,-2.6,8.0,8.522485156671685e-06
246,-2.6,9.0,2.8408283855572286e-06
247,-2.6,10.0,2.8408283855572286e-06
248,-2.6,11.0,8.522485156671685e-06
249,-2.6,14.0,2.8408283855572286e-06
250,-2.6,15.0,2.8408283855572286e-06
251,-2.6,17.0,5.681656771114457e-06
252,-2.6,20.0,5.681656771114457e-06
253,-2.6,22.0,5.681656771114457e-06
254,-2.6,23.0,2.8408283855572286e-06
255,-2.6,24.0,5.681656771114457e-06
256,-2.6,25.0,2.8408283855572286e-06
257,-2.6,29.0,2.8408283855572286e-06
258,-2.6,30.0,5.681656771114457e-06
259,-2.6,31.0,2.8408283855572286e-06
260,-2.6,34.0,2.8408283855572286e-06
261,-2.6,40.0,8.522485156671685e-06
262,-2.6,41.0,2.8408283855572286e-06
263,-2.6,54.0,2.8408283855572286e-06
264,-2.5,1.0,4.545325416891566e-05
265,-2.5,2.0,9.374733672338853e-05
266,-2.5,3.0,8.522485156671685e-06
267,-2.5,4.0,1.4204141927786142e-05
268,-2.5,6.0,1.4204141927786142e-05
269,-2.5,7.0,1.4204141927786142e-05
270,-2.5,8.0,2.8408283855572286e-06
271,-2.5,9.0,2.8408283855572286e-06
272,-2.5,12.0,2.8408283855572286e-06
273,-2.5,13.0,2.8408283855572286e-06
274,-2.5,14.0,2.8408283855572286e-06
275,-2.5,15.0,2.8408283855572286e-06
276,-2.5,16.0,2.8408283855572286e-06
277,-2.5,18.0,2.8408283855572286e-06
278,-2.5,19.0,2.8408283855572286e-06
279,-2.5,22.0,2.8408283855572286e-06
280,-2.5,24.0,5.681656771114457e-06
281,-2.5,26.0,5.681656771114457e-06
282,-2.5,29.0,2.8408283855572286e-06
283,-2.5,30.0,2.8408283855572286e-06
284,-2.5,31.0,2.8408283855572286e-06
285,-2.5,36.0,2.8408283855572286e-06
286,-2.5,37.0,2.8408283855572286e-06
287,-2.5,38.0,2.8408283855572286e-06
288,-2.5,40.0,5.681656771114457e-06
289,-2.5,47.0,2.8408283855572286e-06
290,-2.5,51.0,2.8408283855572286e-06
291,-2.5,73.0,2.8408283855572286e-06
292,-2.4,1.0,3.97715973978012e-05
293,-2.4,2.0,7.95431947956024e-05
294,-2.4,3.0,2.5567455470015058e-05
295,-2.4,4.0,1.704497031334337e-05
296,-2.4,5.0,1.4204141927786142e-05
297,-2.4,6.0,2.8408283855572286e-06
298,-2.4,7.0,2.8408283855572286e-06
299,-2.4,8.0,2.8408283855572286e-06
300,-2.4,10.0,2.8408283855572286e-06
301,-2.4,11.0,5.681656771114457e-06
302,-2.4,13.0,5.681656771114457e-06
303,-2.4,15.0,2.8408283855572286e-06
304,-2.4,16.0,2.8408283855572286e-06
305,-2.4,17.0,2.8408283855572286e-06
306,-2.4,18.0,8.522485156671685e-06
307,-2.4,19.0,5.681656771114457e-06
308,-2.4,20.0,5.681656771114457e-06
309,-2.4,21.0,5.681656771114457e-06
310,-2.4,22.0,1.704497031334337e-05
311,-2.4,23.0,5.681656771114457e-06
312,-2.4,24.0,2.8408283855572286e-06
313,-2.4,25.0,5.681656771114457e-06
314,-2.4,26.0,5.681656771114457e-06
315,-2.4,27.0,5.681656771114457e-06
316,-2.4,29.0,2.8408283855572286e-06
317,-2.4,30.0,2.8408283855572286e-06
318,-2.4,31.0,5.681656771114457e-06
319,-2.4,32.0,2.8408283855572286e-06
320,-2.4,33.0,8.522485156671685e-06
321,-2.4,39.0,2.8408283855572286e-06
322,-2.4,40.0,5.681656771114457e-06
323,-2.4,41.0,5.681656771114457e-06
324,-2.4,46.0,5.681656771114457e-06
325,-2.4,58.0,2.8408283855572286e-06
326,-2.4,63.0,2.8408283855572286e-06
